,opera,track,act,scene_type,track_popularity
329,Adriana Lecouvreur,Adriana Lecouvreur Il Principe di Bouillon,1.02,septet,0
331,Adriana Lecouvreur,Adriana Lecouvreur Eccoci soli alfin,1.06,recitative,0
335,Adriana Lecouvreur,Adriana Lecouvreur Ecco il monologo,1.12,aria,0
341,Adriana Lecouvreur,Adriana Lecouvreur Amore e fiamma,2.04,recitative,0
342,Adriana Lecouvreur,Adriana Lecouvreur Vi cogliam Conte sul fatto,2.05,recitative,0
343,Adriana Lecouvreur,Adriana Lecouvreur Eccovi alfin Divina,2.06,recitative,0
344,Adriana Lecouvreur,Adriana Lecouvreur Ma dunque e vero,2.07,recitative,0
345,Adriana Lecouvreur,Adriana Lecouvreur Signor Abate,2.08,recitative,0
346,Adriana Lecouvreur,Adriana Lecouvreur Adriana ascoltate,2.09,recitative,0
365,Adriana Lecouvreur,Adriana Lecouvreur Dio venite Adriana,4.12,recitative,0
544,Falstaff,Falstaff Pizzica pizzica,3.11-2 ,"recitative,ensemble",0
347,Adriana Lecouvreur,Adriana Lecouvreur Ebbene che granchio,2.10,recitative,0
351,Adriana Lecouvreur,Adriana Lecouvreur Voi Principessa,3.02,recitative,0
352,Adriana Lecouvreur,Adriana Lecouvreur Il Conte di Sassonia,3.04,sextet,0
357,Adriana Lecouvreur,Adriana Lecouvreur Giusto cielo,3.08,recitative,0
358,Adriana Lecouvreur,Adriana Lecouvreur So ch'ella dorme,4.02,recitative,0
360,Adriana Lecouvreur,Adriana Lecouvreur Lieta sorpresa,4.04,sextet,0
361,Adriana Lecouvreur,Adriana Lecouvreur Una volta c'era un Principe,4.05,quartet,0
362,Adriana Lecouvreur,Adriana Lecouvreur Un cofanetto scusate,4.06,sextet,0
363,Adriana Lecouvreur,Adriana Lecouvreur No la mia fronte,4.10-1 ,duet,0
348,Adriana Lecouvreur,Adriana Lecouvreur Sia..aprite,2.11-1 ,recitative,0
349,Adriana Lecouvreur,Adriana Lecouvreur Non risponde,2.11-2 ,,0
391,Die Zauberflöte,Die Zauberflöte He lichter her!,2.06,spoken,0
364,Adriana Lecouvreur,Adriana Lecouvreur Che tu tremi trascolori,4.11,recitative,0
380,Die Zauberflöte,Die Zauberflöte Wie stark is nicht dein Zauberton,1.18,aria,0
127,Aida,Aida Su dunque sorgete,3.07-2 ,aria,0
138,Aida,Aida Le gole Di Napata,3.14-2 ,recitative,0
139,Aida,Aida Ah! no ti calma ascoltami,3.15,recitative,0
141,Aida,Aida Muori.. arresta insano,3.16-2 ,recitative,0
143,Aida,Aida Io l'amo io l'amo sempre,4.01-2 ,aria,0
145,Aida,Aida Morire ah tu dei vivere,4.03,aria,0
149,Aida,Aida Spirito del Nume sovra noi discendi,4.08,duet,0
155,Aida,Aida Immenso Ftha del mondo,4.15,,0
96,Aida,Aida Ohimé di guerra fremère,1.05-3,recitative,0
366,Adriana Lecouvreur,Adriana Lecouvreur Ecco la luce,4.13,recitative,0
56,Carmen,Carmen La cloche a sonnee,1.05,choir,0
83,Carmen,Carmen Moi je viens te chercher!,3.08,,0
89,Carmen,Carmen Ou vas - tu Laisse - moi,3.15,"duet,choir",0
735,Das Rheingold,Das Rheingold Umsonst sucht ich,2,aria,0
736,Das Rheingold,Das Rheingold Hieher dorthin hehe hoho!,3,aria,0
664,Die Walküre,Die Walküre Ho jo to ho,2.03,aria,0
675,Die Walküre,Die Walküre Kehrte der Vater nun heim,2.14,recitative,0
676,Die Walküre,Die Walküre Wo ist Brunnhilde,3.04,recitative,0
677,Die Walküre,Die Walküre War es so schmalich,3.05,"recitative,duet",0
70,Carmen,Carmen Haite - la ! qui va la,2.06,aria,0
75,Carmen,"Carmen Bel oficier, bel oficier",2.11,quartet,0
115,Aida,Aida Concedi in pria,2.11,recitative,0
99,Aida,Aida Numi pieta del mio soffrir,1.08-3 ,aria,0
519,Falstaff,Falstaff Presenteremo un bill,2.06,recitative,0
515,Falstaff,Falstaff Signore v'assista il cielo,2.03,recitative,0
589,Don Giovanni,Don Giovanni Finch han dal vino calda la testa,1.20,aria,0
594,Don Giovanni,Don Giovanni Tra quest arbori celata,1.26,recitative,0
494,Falstaff,Falstaff Sei polli sei scellini,1.02-1 ,recitative,0
495,Falstaff,Falstaff So che se andiam la notte,1.02-2 ,recitative,0
496,Falstaff,Falstaff Ma e tempo d'assottigliar l'ingegno,1.03-2 ,recitative,0
497,Falstaff,Falstaff Ve noto un tal qui del paese,1.03-3 ,recitative,0
566,Don Giovanni,Don Giovanni Traditore!,1.02-3 ,recitative,0
499,Falstaff,Falstaff Ma per tornare a voi,1.04-2 ,aria,0
493,Falstaff,Falstaff Falstaff ola!,1.01,recitative,0
502,Falstaff,Falstaff Quell'otre! quel tino,1.07-1 ,quartet,0
505,Falstaff,Falstaff Pst pst Nannetta,1.09-1 ,recitative,0
506,Falstaff,Falstaff Labbra di foco,1.09-2 ,recitative,0
507,Falstaff,Falstaff Falstaff m'ha canzonata,1.09-3 ,recitative,0
508,Falstaff,Falstaff Torno all assalto,1.09-4 ,recitative,0
510,Falstaff,Falstaff Qui piu non si vagoli,1.12,recitative,0
511,Falstaff,Falstaff Siam pentiti e contriti,2.01-1 ,recitative,0
503,Falstaff,Falstaff E un ribaldo un furbo un ladro,1.07-2 ,duet,0
513,Falstaff,Falstaff Alice e mia va vecchio John,2.02-1 ,recitative,0
514,Falstaff,Falstaff Padron di la ce un certo Fontana,2.02-2 ,recitative,0
498,Falstaff,Falstaff L'onore? Ladri!,1.04-1 ,aria,0
405,Die Zauberflöte,Die Zauberflöte Soll ich dich Teurer nicht mehr sehen?,2.21,trio,0
539,Falstaff,Falstaff Odo un soave passo,3.07-2 ,duet,0
518,Falstaff,Falstaff Eccomi qua son pronto,2.05-2 ,recitative,0
520,Falstaff,Falstaff Gaie comari di Windsor,2.08,"quartet,recitative",0
521,Falstaff,Falstaff Alfin ho colto raggiante fior,2.09,recitative,0
522,Falstaff,Falstaff Quand'ero paggio,2.10,aria,0
523,Falstaff,Falstaff Mia signora,2.11-1 ,recitative,0
524,Falstaff,Falstaff Egli scavalca le siepi del giardino,2.11-2 ,recitative,0
525,Falstaff,Falstaff Vien qua che chiasso!,2.12-1 ,recitative,0
526,Falstaff,Falstaff Al ladro!,2.12-2 ,recitative,0
527,Falstaff,Falstaff Ce ce se t'agguanto,2.13,"recitative,ensemble",0
528,Falstaff,Falstaff Ned! Will! Tom! Isaac! su presto!,2.15,recitative,0
516,Falstaff,Falstaff Ce a Windsor una dama,2.04-1 ,"recitative,duet",0
529,Falstaff,Falstaff Ehi! Taverniere!,3.01-1 ,aria,0
531,Falstaff,Falstaff Reverenza la bella Alice,3.02-1 ,"recitative,ensemble",0
532,Falstaff,Falstaff Quando il rintocco della mezzanotte,3.03,"aria,recitative",0
533,Falstaff,Falstaff Brava quelle corna saranno,3.04,"recitative,ensemble",0
534,Falstaff,Falstaff Avro con me dei putti,3.05-1 ,"aria,ensemble",0
535,Falstaff,Falstaff Provvedi le lanterne,3.05-2 ,recitative,0
537,Falstaff,Falstaff Nossignore! tu indossa,3.06-2 ,recitative,0
538,Falstaff,Falstaff Una due tre quattro,3.07-1 ,recitative,0
394,Die Zauberflöte,Die Zauberflöte Heil dir Prinz!,2.08-2 ,duet,0
542,Falstaff,Falstaff Alto la! Chi la la?,3.10,"recitative,ensemble",0
530,Falstaff,Falstaff Mondo ladro,3.01-2 ,aria,0
543,Falstaff,Falstaff Ruzzola ruzzola ruzzola!,3.11-1 ,"recitative,ensemble",0
512,Falstaff,Falstaff Reverenza!,2.01-2 ,recitative,0
545,Falstaff,Falstaff Naso vermiglio,3.12-1 ,"recitative,ensemble",0
548,Falstaff,Falstaff Facciamo il parentado,3.15-1 ,"recitative,ensemble",0
713,Götterdammerung,Götterdammerung Hoi ho Ihr Gibichsmannen,,,0
714,Götterdammerung,Götterdammerung Höre mit Sinn,,aria,0
715,Götterdammerung,Götterdammerung Seit er von dir geschieden,,aria,0
719,Götterdammerung,Götterdammerung Starke Scheite schichtet mir dort,,"aria,finale",0
721,Götterdammerung,Götterdammerung Altgewohntes Gerausch,1,,0
722,Götterdammerung,Götterdammerung Hier sitz ich zur Wacht,1,aria,0
725,Götterdammerung,Götterdammerung Brunnhilde die hehrste Frau,2.04,aria,0
726,Götterdammerung,Götterdammerung Schweigt eures Jammers,3,,0
442,La Fille du régiment,La Fille du régiment Sorgeva il di Maria,2.03,trio,0
441,La Fille du régiment,La Fille du régiment La romanza in question,2.02-2 ,recitative,0
469,La Clemenza di Tito,La Clemenza di Tito Deh! conservata oh Dei,1.23,"quintet,choir",0
471,La Clemenza di Tito,La Clemenza di Tito Torna di Tito a lato,2.02,aria,0
480,La Clemenza di Tito,La Clemenza di Tito Ma Publio ancora,2.12,recitative,0
486,La Clemenza di Tito,La Clemenza di Tito Publio ascolta,2.18,recitative,0
418,La Fille du régiment,La Fille du régiment Convien partir,,aria,0
420,La Fille du régiment,La Fille du régiment Le ricchezze ed il grado fastoso,,aria,0
428,La Fille du régiment,La Fille du régiment Se andate io qui non resto,1,aria,0
431,La Fille du régiment,La Fille du régiment Silenzio silenzio!,1.02,choir,0
432,La Fille du régiment,La Fille du régiment Ragazzi per pieta,1.03,recitative,0
727,Götterdammerung,Götterdammerung Mime hiess ein mürrischer Zwerg,3.02,aria,0
458,La Clemenza di Tito,La Clemenza di Tito Marcia 2,1.11,instrumental,0
174,Mefistofele,Mefistofele Forma ideal purissima,4,duet,0
173,Mefistofele,Mefistofele Spunta l'aurora pallida,3,aria,0
690,Siegfried,Siegfried Du bist nicht,3.01,aria,0
445,La Fille du régiment,La Fille du régiment Che vedo un uffiziale,2.08-1 ,aria,0
446,La Fille du régiment,La Fille du régiment Mio figlio il Duca,2.09,recitative,0
447,La Fille du régiment,La Fille du régiment Maria cara madre,2.10-2 ,duet,0
285,La Traviata,La Traviata Che e cio? non gradireste,1.04-1 ,"aria,ensemble",0
289,La Traviata,La Traviata Si ridesta in ciel aurora,1.07,choir,0
291,La Traviata,La Traviata Ah! fors e lui che l'anima,1.09,aria,0
299,La Traviata,La Traviata Madamigella Valery,2.03-2 ,duet,0
302,La Traviata,La Traviata E grave il sacrifizio,2.05-2 ,duet,0
313,La Traviata,La Traviata Di Madride noi siamo mattadori,2.16,,0
304,La Traviata,La Traviata Ah! dite alle giovine,2.07,duet,0
310,La Traviata,La Traviata Ne rispondi d'un padre all affetto,2.13-2 ,aria,0
324,La Traviata,La Traviata Ah! non piu a un tempio,3.08,duet,0
640,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Comme autrefois dans la nuit sombre,2.02-2 ,aria,0
648,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Je fremis je chancelle,3.03,duet,0
651,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Sombres divinites,3.06,quartet,0
652,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Ce sont eux les voici,3.08,,0
167,Mefistofele,Mefistofele Ave Signor,0,aria,0
169,Mefistofele,Mefistofele Son lo spirito che nega,1,aria,0
172,Mefistofele,Mefistofele Lontano lontano lontano,3,duet,0
443,La Fille du régiment,La Fille du régiment Par le rang et par l'opulence,2.05-1 ,aria,0
546,Falstaff,Falstaff Ogni sorta di gente dozzinale,3.13,"recitative,ensemble",0
433,La Fille du régiment,La Fille du régiment Corpo d'uno spingardo 1,1.05,recitative,0
227,Otello,Otello Non m'inganno al mio rivale,,,0
229,Otello,Otello Esultate l'orgoglio musulmano,1.02,"aria,choir",0
233,Otello,Otello Innaffia l'ugola trinca tracanna,1.06,"trio,choir",0
235,Otello,Otello Ola che avvien,1.08-2 ,recitative,0
237,Otello,Otello Quando narravi l'esule tua vita,1.09-2 ,duet,0
239,Otello,Otello Non ti cruciar,2.01,recitative,0
240,Otello,Otello Vanne la tua meta gia vedo,2.02,recitative,0
242,Otello,Otello Eccola Cassio a te,2.04,aria,0
250,Otello,Otello Ora e per sempre addio sante memorie,2.13,aria,0
254,Otello,Otello Continua qui trarro,3.02,recitative,0
271,Otello,Otello Fuggirmi io sol non so,3.19-2 ,recitative,0
258,Otello,Otello Ah! Dannazione,3.06-3 ,recitative,0
260,Otello,Otello Vieni l'aula e deserta,3.08,recitative,0
261,Otello,Otello E intanto giacche non si stanca,3.09,recitative,0
262,Otello,Otello Questa e una ragna,3.10,aria,0
263,Otello,Otello Quest e il segnale,3.12-1 ,recitative,0
264,Otello,Otello Come la uccidero,3.12-2 ,recitative,0
265,Otello,Otello Viva il Leon di San Marco,3.13,choir,0
266,Otello,Otello Il doge ed il senato salutano,3.14-1 ,recitative,0
267,Otello,Otello Messere son lieto di vedervi,3.14-2 ,recitative,0
222,Otello,Otello Canzone del Salice e Ave Maria,,aria,0
259,Otello,Otello Cassio e la,3.07,recitative,0
270,Otello,Otello Quell innocente un fremito,3.17,quartet,0
274,Otello,Otello O salce salce,4.03-2 ,aria,0
269,Otello,Otello A terra si nel livido fango,3.16,aria,0
185,Rigoletto,Rigoletto Signor va non ho niente,2.01-2 ,duet,0
224,Otello,Otello Isaura!,,,0
280,Otello,Otello Quai grida orrore,4.07-1 ,recitative,0
178,Pelléas et Melisande,Pelléas et Melisande Maintenant que le pere de Pelleas est sauve,4,aria,0
190,Rigoletto,Rigoletto Gia de tre lune,2.04-2 ,aria,0
191,Rigoletto,Rigoletto Addio addio mio padre,2.05-1 ,trio,0
193,Rigoletto,Rigoletto Signor ne principe,2.05-3 ,duet,0
553,Samson et Dalila,Samson et Dalila Israel romps ta chaine,1,aria,0
279,Otello,Otello Aprite aprite,4.06-2 ,recitative,0
278,Otello,Otello Calma come la tomba,4.06-1 ,recitative,0
681,Siegfried,Siegfried Heiss ward mir,,,0
556,Samson et Dalila,Samson et Dalila Maudite a jamais soit la race,1,aria,0
36,Tosca,Tosca Risolvi mi vuoi supplice,2.14-3 ,recitative,0
23,Tosca,Tosca Egli e la sale ascende,2.04-2 ,recitative,0
26,Tosca,Tosca Ahime! Mario consenti chio parli,2.08,recitative,0
27,Tosca,Tosca Floria..amore Vittoria,2.09,trio,0
28,Tosca,Tosca Nel pozzo del giardino Vittoria,2.10,duet,0
31,Tosca,Tosca Gia mi dicon venal,2.12-2 ,aria,0
33,Tosca,Tosca Ah! piuttosto giu m'avvento,2.13,recitative,0
0,Tosca,Tosca Overture,1,instrumental,0
45,Tosca,Tosca O dolce mani mansuete e pure,3.06,duet,0
686,Siegfried,Siegfried Nothung nothung neidliches Schwert,1,aria,0
354,Adriana Lecouvreur,Adriana Lecouvreur Ballet 3,3.05-2 ,instrumental,1
484,La Clemenza di Tito,La Clemenza di Tito Ove s'intese mai piu,2.16,recitative,1
332,Adriana Lecouvreur,Adriana Lecouvreur Adriana che c'e?,1.07,recitative,1
339,Adriana Lecouvreur,Adriana Lecouvreur Principessa finalmente,2.02,recitative,1
337,Adriana Lecouvreur,Adriana Lecouvreur Neppure una parola,1.13-2 ,ensemble,1
350,Adriana Lecouvreur,Adriana Lecouvreur Eh! via cosi non va,3.01,recitative,1
359,Adriana Lecouvreur,Adriana Lecouvreur Amico mio figliuola,4.03,recitative,1
268,Otello,Otello Messeri il Doge,3.15-2 ,recitative,1
120,Aida,Aida Fa cor della tua patria,2.17,,1
66,Carmen,Carmen Les tringles des sistres tintaient (Gypsy Song),2.02,aria,1
625,Dialogues Carmelites,Dialogues Carmelites Soeur Blanche de l'Agonie du Christ,1,aria,1
585,Don Giovanni,Don Giovanni Allora rinforzo i stridi miei,1.17-2 ,"recitative,aria",1
624,Don Giovanni,Don Giovanni Questo e il fin di chi fa mal,2.22,"ensemble,finale",1
716,Götterdammerung,Götterdammerung Siegfried und Brunnhilde,,instrumental,1
475,La Clemenza di Tito,La Clemenza di Tito Gia de publici,2.07,recitative,1
93,Aida,Aida Celeste Aidas,1.03-2 ,aria,1
353,Adriana Lecouvreur,Adriana Lecouvreur Il russo Mencikoff,3.05-1 ,aria,1
106,Aida,Aida Dance of young moorish slaves,2.02,instrumental,1
649,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Entends au loin,3.04,,1
647,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Qu'ai je vu?,3.02,"recitative,duet",1
629,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Amis interrompez vos danses,1.03-1 ,"recitative,choir",1
440,La Fille du régiment,La Fille du régiment Ecco le carte,2.02-1 ,recitative,1
424,La Fille du régiment,La Fille du régiment E l'ora dell'appello,1,aria,1
434,La Fille du régiment,La Fille du régiment Depuis l'instant ou dans mes bras,1.10,duet,1
419,La Fille du régiment,La Fille du régiment Deciso e dunque,,,1
436,La Fille du régiment,La Fille du régiment Ma chi arriva,1.13,,1
635,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles A cette voix quel trouble,1.10,"recitative,aria",1
429,La Fille du régiment,La Fille du régiment Suo padre me l'accorda,1,aria,1
650,Les (The Pearl Fishers) Pêcheurs de perles,Les (The Pearl Fishers) Pêcheurs de perles Des que le soleil,3.05,,1
218,Otello,Otello Ah come mai non senti,,aria,1
244,Otello,Otello Un tal proposto,2.06,duet,1
200,Rigoletto,Rigoletto Parmi veder le lagrima,3.01-2 ,aria,1
421,La Fille du régiment,La Fille du régiment Andiam andiam,1,choir,1
3,Tosca,Tosca Santa ampolle,1.03-1 ,aria,1
626,Dialogues Carmelites,Dialogues Carmelites Ave Maria,2,,1
107,Aida,Aida Vieni sul crin ti piovano,2.03-1 ,recitative,10
51,Carmen,"Carmen En vain, pour éviter",,aria,10
403,Die Zauberflöte,Die Zauberflöte Nicht wahr Tamino ich kann auch schweigen,2.18,recitative,10
410,Die Zauberflöte,Die Zauberflöte Der welcher wandert diese Strasse voll Beschwerden,2.27,spoken,10
482,La Clemenza di Tito,La Clemenza di Tito Eppur mi fa pieta,2.14,recitative,10
477,La Clemenza di Tito,La Clemenza di Tito No cosi scellerato,2.09,recitative,10
583,Don Giovanni,Don Giovanni Non ti fidar o misera,1.16-1 ,quartet,10
588,Don Giovanni,Don Giovanni Dalla sua pace,1.18-2 ,aria,10
472,La Clemenza di Tito,La Clemenza di Tito Partir deggio o restar,2.03,recitative,10
577,Don Giovanni,Don Giovanni Ho capito Signor si!,1.10,aria,10
580,Don Giovanni,Don Giovanni Fermati scellerato!,1.13,recitative,10
408,Die Zauberflöte,Die Zauberflöte Da bin ich schon mein Engel,2.24,spoken,10
230,Otello,Otello Roderigo ebben che pensi,1.03-1 ,aria,10
186,Rigoletto,Rigoletto Pari siamo,2.02-1 ,aria,10
492,La Clemenza di Tito,La Clemenza di Tito Tu e ver m'assolvi,2.25,"aria,ensemble",10
423,La Fille du régiment,La Fille du régiment Chacun le sait,1,aria,10
168,Mefistofele,Mefistofele Dai campi dai prati,1,aria,10
232,Otello,Otello Roderigo beviam,1.05,recitative,10
489,La Clemenza di Tito,La Clemenza di Tito Che del ciel che degli Dei,2.22,choir,10
188,Rigoletto,Rigoletto Figlia Mio Padre!,2.03,duet,10
206,Rigoletto,Rigoletto Piangi fanciulla,3.06-2 ,duet,10
207,Rigoletto,Rigoletto Schiudete ire al carcere Monteron,3.07-1 ,,10
24,Tosca,Tosca Dove Angelotti?,2.05,recitative,10
491,La Clemenza di Tito,La Clemenza di Tito Ma che giorno e mai questo,2.24,recitative,10
606,Don Giovanni,Don Giovanni Vedrai carino,2.07-3 ,aria,11
404,Die Zauberflöte,Die Zauberflöte O Isis und Osiris welche Wonne,2.19,choir,11
415,Die Zauberflöte,Die Zauberflöte Nur stille! stille!,2.32,quintet,11
412,Die Zauberflöte,Die Zauberflöte Wir wandelten durch Feuersgluten,2.29,"choir,duet",11
411,Die Zauberflöte,Die Zauberflöte Tamino mein!,2.28,quartet,11
466,La Clemenza di Tito,La Clemenza di Tito Vedrai Tito vedrai,1.20,recitative,11
401,Die Zauberflöte,Die Zauberflöte Tamino wollen wir nicht speisen,2.16,recitative,11
399,Die Zauberflöte,Die Zauberflöte Hier seid ihr euch beide allein überlassen,2.14,spoken,11
82,Carmen,Carmen Hola! hola! Jose!,3.07,quartet,11
72,Carmen,"Carmen Attends un peu, Carmen",2.08,,11
559,Samson et Dalila,Samson et Dalila Amour viens aider ma faiblesse,2,aria,11
416,Die Zauberflöte,Die Zauberflöte Die Strahlen der Sonne vertreiben die Nacht,2.33-1 ,"recitative,choir",11
474,La Clemenza di Tito,La Clemenza di Tito Se al volto mai ti senti,2.05,trio,11
473,La Clemenza di Tito,La Clemenza di Tito Sesto che chiedi,2.04,recitative,11
11,Tosca,Tosca Qual occhi al mondo puo,1.11-2 ,duet,11
198,Rigoletto,Rigoletto Zitti zitti moviamo a vendetta,2.10,"choir,duet",11
273,Otello,Otello Piangea cantando,4.03-1 ,aria,11
470,La Clemenza di Tito,La Clemenza di Tito Sesto come tu credi,2.01,recitative,11
481,La Clemenza di Tito,La Clemenza di Tito Quello di Tito e il volto,2.13,trio,11
479,La Clemenza di Tito,La Clemenza di Tito Che orror che tradimento,2.11,aria,11
478,La Clemenza di Tito,La Clemenza di Tito Tu fosti tradito,2.10,aria,11
476,La Clemenza di Tito,La Clemenza di Tito Tardi s'avvede,2.08,aria,11
241,Otello,Otello Credo in un Dio crudel,2.03,aria,11
417,Die Zauberflöte,Die Zauberflöte Heil sei euch Geweihten,2.33-2 ,choir,12
62,Carmen,"Carmen Tra la la la, coupe - moi",1.11,"duet,choir",12
65,Carmen,Carmen Entr'acte 1,2.01,instrumental,12
81,Carmen,Carmen Je suis Escamillo,3.06,duet,12
87,Carmen,"Carmen Si tu m'aimes, Carmen",3.13,"duet,choir",12
390,Die Zauberflöte,Die Zauberflöte Eine schreckliche Nacht,2.04,spoken,12
397,Die Zauberflöte,Die Zauberflöte Morden soll ich?,2.12,spoken,12
400,Die Zauberflöte,Die Zauberflöte Seid uns zum zweiten Mal willkommen,2.15,trio,12
611,Don Giovanni,Don Giovanni Ferma perfido ferma,2.11-1 ,recitative,12
572,Don Giovanni,Don Giovanni Chi e la?,1.06-2 ,recitative,12
47,Tosca,Tosca Amaro sol per te m'era il morire,3.08,duet,12
617,Don Giovanni,Don Giovanni Calmatevi idol mio!,2.16,recitative,12
618,Don Giovanni,Don Giovanni Crudele? Ah! no mio bene,2.17-1 ,"aria,recitative",12
621,Don Giovanni,Don Giovanni L'ultima prova dell'amor mio,2.19,recitative,12
711,Götterdammerung,Götterdammerung Brunnhilde heilige Braut,,aria,12
305,La Traviata,La Traviata Morro la mia memoria,2.09,duet,12
321,La Traviata,La Traviata Largo al quadrupede,3.05,choir,12
37,Tosca,Tosca Io tenni la promessa,2.16,aria,12
616,Don Giovanni,Don Giovanni O statua gentilissima,2.15,duet,12
615,Don Giovanni,Don Giovanni Ah! ah questa e buona,2.14,recitative,12
109,Aida,Aida Pieta ti prenda del mio dolor,2.05,recitative,13
388,Die Zauberflöte,Die Zauberflöte Ihr in dem Weisheitstempel eingeweihten,2.02,spoken,13
61,Carmen,Carmen Au secours! n'entendez - vous pas,1.10,"aria,choir",13
84,Carmen,Carmen Entr'acte 3,3.10,instrumental,13
386,Die Zauberflöte,Die Zauberflöte Wenn Tugend und Gerechtigkeit,1.22,choir,13
608,Don Giovanni,Don Giovanni Mille torbidi pensieri,2.09-2 ,sextet,13
395,Die Zauberflöte,Die Zauberflöte Alles fühlt der Liebe Freuden,2.09,aria,13
398,Die Zauberflöte,Die Zauberflöte In diesen heilgen Hallen,2.13,aria,13
564,Don Giovanni,Don Giovanni Notte e giorno faticar,1.02-1 ,aria,13
95,Aida,Aida Vieni o diletta appressati,1.05-2 ,recitative,13
286,La Traviata,La Traviata Oh! qual pallor,1.05-1,recitative,13
461,La Clemenza di Tito,La Clemenza di Tito Non ci pentiam,1.14,recitative,13
43,Tosca,Tosca Ah! franchigia a Floria Tosca,3.04,duet,13
327,La Traviata,La Traviata Se una pudica vergine,3.12,quartet,13
228,Otello,Otello Una vela una vela,1.01,recitative,13
48,Tosca,Tosca E non giungono,3.09,recitative,13
197,Rigoletto,Rigoletto Caro nome che il mio cor,2.08-2 ,aria,13
215,Rigoletto,Rigoletto Della vendetta alfin giunge,4.07,recitative,13
217,Rigoletto,Rigoletto Lassu in cielo,4.08-2 ,duet,13
402,Die Zauberflöte,Die Zauberflöte Ach ich fühl es ist verschwunden,2.17,aria,13
18,Tosca,Tosca Te deum,1.20,aria,13
35,Tosca,Tosca Vedi le man giunte io stendo,2.14-2 ,recitative,13
221,Otello,Otello Canzone del Salice,,aria,13
680,Siegfried,Siegfried Dass der mein Vater nicht ist,,,13
46,Tosca,Tosca Senti l'ora e vicina,3.07,aria,13
449,La Clemenza di Tito,La Clemenza di Tito Ma che sempre l'istesso,1.02,recitative,14
338,Adriana Lecouvreur,Adriana Lecouvreur Acerba volutta,2.01,aria,14
451,La Clemenza di Tito,La Clemenza di Tito Amico il passo affretta,1.04,recitative,14
71,Carmen,Carmen Je vais danser en votre honneur,2.07,duet,14
376,Die Zauberflöte,Die Zauberflöte Mutter Mutter!,1.14,recitative,14
382,Die Zauberflöte,Die Zauberflöte Könnte jeder brave Mann,1.19-2 ,duet,14
383,Die Zauberflöte,Die Zauberflöte Es lebe Sarastro Sarastro lebe!,1.20-1 ,"recitative,choir",14
392,Die Zauberflöte,Die Zauberflöte Wie wie wie?,2.07,quintet,14
105,Aida,Aida Nume custode e vindice,1.14,duet,14
393,Die Zauberflöte,Die Zauberflöte Jungling!,2.08-1 ,spoken,14
590,Don Giovanni,Don Giovanni Masetto senti un po,1.21,recitative,14
452,La Clemenza di Tito,La Clemenza di Tito Deh! se piacer mi vuoi,1.05,aria,14
597,Don Giovanni,Don Giovanni Venite pur avanti,1.28-3 ,recitative,14
718,Götterdammerung,Götterdammerung Siegfrieds Tod,,instrumental,14
385,Die Zauberflöte,Die Zauberflöte Nun stolzer Jungling nur hierher,1.21,quartet,14
384,Die Zauberflöte,Die Zauberflöte Herr ich bin zwar Verbrecherin,1.20-2 ,duet,14
592,Don Giovanni,Don Giovanni Guarda un po come seppe,1.23,recitative,14
683,Siegfried,Siegfried Selige ode,,,14
39,Tosca,Tosca Tosca finalmente mia,2.18,ensemble,14
456,La Clemenza di Tito,La Clemenza di Tito Serbate oh Dei custodi,1.09,choir,14
468,La Clemenza di Tito,La Clemenza di Tito Oh! Dei che smania,1.22,recitative,14
459,La Clemenza di Tito,La Clemenza di Tito Adesso oh Sesto,1.12,recitative,14
462,La Clemenza di Tito,La Clemenza di Tito Ah! perdona al primo,1.15,duet,14
463,La Clemenza di Tito,La Clemenza di Tito Ah! se fosse intorno al trono,1.17,aria,14
464,La Clemenza di Tito,La Clemenza di Tito Felice me,1.18,recitative,14
467,La Clemenza di Tito,La Clemenza di Tito Vengo aspettate Sesto,1.21,trio,14
457,La Clemenza di Tito,La Clemenza di Tito Te della..basta basta,1.10,recitative,14
293,La Traviata,La Traviata Sempre libera degg'io,1.11,aria,14
213,Rigoletto,Rigoletto Venti scudi hai tu detto,4.05-2 ,recitative,14
214,Rigoletto,Rigoletto Ah! piu non ragiono,4.06-1 ,recitative,14
453,La Clemenza di Tito,La Clemenza di Tito Amico ecco il momento,1.06,recitative,14
20,Tosca,Tosca Ha piu forte sapore,2.02-2 ,recitative,14
32,Tosca,Tosca Se la giurata fede,2.12-3 ,"aria,recitative",14
209,Rigoletto,Rigoletto E l'ami sempre,4.01,quartet,14
94,Aida,Aida Quale insolita gioia nel tuo sguardo,1.04,recitative,15
98,Aida,Aida Or di vulcano al tempio,1.08-2 ,aria,15
