,date,opera,language,composer,artist_popularity
901,2012-11-16,La Clemenza di Tito,Italian,Mozart,208
902,2012-11-17,Le Nozze di Figaro,Italian,Mozart,197
903,2012-11-20,La Clemenza di Tito,Italian,Mozart,158
904,2012-11-23,Aida,Italian,Verdi,26
905,2012-11-24,La Clemenza di Tito,Italian,Mozart,158
906,2012-11-26,Aida,Italian,Verdi,26
907,2012-11-28,Don Giovanni,Italian,Mozart,126
908,2012-11-29,Aida,Italian,Verdi,26
909,2012-12-01,Don Giovanni,Italian,Mozart,118
910,2012-12-01,La Clemenza di Tito,Italian,Mozart,158
911,2012-12-03,Aida,Italian,Verdi,26
912,2012-12-05,Don Giovanni,Italian,Mozart,118
913,2012-12-06,La Clemenza di Tito,Italian,Mozart,163
914,2012-12-07,Aida,Italian,Verdi,26
915,2012-12-08,Don Giovanni,Italian,Mozart,118
916,2012-12-10,La Clemenza di Tito,Italian,Mozart,41
917,2012-12-11,Don Giovanni,Italian,Mozart,118
918,2012-12-12,Aida,Italian,Verdi,63
919,2012-12-13,Les Troyens,French,Berlioz,280
920,2012-12-15,Aida,Italian,Verdi,63
921,2012-12-15,Don Giovanni,Italian,Mozart,118
922,2012-12-17,Les Troyens,French,Berlioz,241
923,2012-12-18,Il Barbiere di Siviglia,Italian,Rossini,65
924,2012-12-19,Aida,Italian,Verdi,71
925,2012-12-20,Don Giovanni,Italian,Mozart,118
926,2012-12-21,Les Troyens,French,Berlioz,269
927,2012-12-22,Aida,Italian,Verdi,71
928,2012-12-22,Il Barbiere di Siviglia,Italian,Rossini,65
929,2012-12-26,Il Barbiere di Siviglia,Italian,Rossini,19
930,2012-12-26,Les Troyens,French,Berlioz,287
931,2012-12-27,Il Barbiere di Siviglia,Italian,Rossini,65
932,2012-12-28,Aida,Italian,Verdi,71
933,2012-12-29,Il Barbiere di Siviglia,Italian,Rossini,65
934,2012-12-29,Les Troyens,French,Berlioz,272
935,2012-12-31,Maria Stuarda,Italian,Donizetti,123
936,2013-01-01,Les Troyens,French,Berlioz,261
937,2013-01-02,Turandot,Italian,Puccini,90
938,2013-01-03,Il Barbiere di Siviglia,Italian,Rossini,65
939,2013-01-04,Maria Stuarda,Italian,Donizetti,123
940,2013-01-05,Il Barbiere di Siviglia,Italian,Rossini,65
941,2013-01-05,Les Troyens,French,Berlioz,286
942,2013-01-07,Turandot,Italian,Puccini,90
943,2013-01-08,Maria Stuarda,Italian,Donizetti,123
944,2013-01-09,Il Trovatore,Italian,Verdi,55
945,2013-01-10,Turandot,Italian,Puccini,90
946,2013-01-11,La Rondine,Italian,Puccini,72
947,2013-01-12,Il Trovatore,Italian,Verdi,58
948,2013-01-12,Maria Stuarda,Italian,Donizetti,123
949,2013-01-14,La Rondine,Italian,Puccini,43
950,2013-01-15,Maria Stuarda,Italian,Donizetti,123
951,2013-01-16,Il Trovatore,Italian,Verdi,58
952,2013-01-18,La Rondine,Italian,Puccini,43
953,2013-01-19,Il Trovatore,Italian,Verdi,39
954,2013-01-19,Maria Stuarda,Italian,Donizetti,123
955,2013-01-22,La Rondine,Italian,Puccini,43
956,2013-01-23,Maria Stuarda,Italian,Donizetti,101
957,2013-01-24,Il Trovatore,Italian,Verdi,39
958,2013-01-26,La Rondine,Italian,Puccini,43
959,2013-01-26,Maria Stuarda,Italian,Donizetti,123
960,2013-01-28,Rigoletto,Italian,Verdi,314
961,2013-01-31,Rigoletto,Italian,Verdi,296
962,2013-02-04,Rigoletto,Italian,Verdi,296
963,2013-02-08,Rigoletto,Italian,Verdi,296
964,2013-02-09,Carmen,French,Bizet,126
965,2013-02-12,Rigoletto,Italian,Verdi,296
966,2013-02-13,Carmen,French,Bizet,100
967,2013-02-15,Parsifal,German,Wagner,336
968,2013-02-16,Carmen,French,Bizet,66
969,2013-02-16,Rigoletto,Italian,Verdi,296
970,2013-02-18,Parsifal,German,Wagner,168
971,2013-02-19,Rigoletto,Italian,Verdi,296
972,2013-02-20,Carmen,French,Bizet,66
973,2013-02-23,Carmen,French,Bizet,68
974,2013-02-23,Rigoletto,Italian,Verdi,296
975,2013-02-26,Carmen,French,Bizet,100
976,2013-02-27,Parsifal,German,Wagner,168
977,2013-03-01,Carmen,French,Bizet,93
978,2013-03-02,Parsifal,German,Wagner,168
979,2013-03-04,Francesca da Rimini,Italian,Zandonai,61
980,2013-03-05,Parsifal,German,Wagner,155
981,2013-03-08,Parsifal,German,Wagner,168
982,2013-03-09,Francesca da Rimini,Italian,Zandonai,59
983,2013-03-11,Otello,Italian,Rossini,109
984,2013-03-11,Otello,Italian,Verdi,109
985,2013-03-12,Francesca da Rimini,Italian,Zandonai,61
986,2013-03-14,La Traviata,Italian,Verdi,173
987,2013-03-15,Otello,Italian,Rossini,111
988,2013-03-15,Otello,Italian,Verdi,111
989,2013-03-16,Francesca da Rimini,Italian,Zandonai,61
990,2013-03-18,La Traviata,Italian,Verdi,165
991,2013-03-19,Francesca da Rimini,Italian,Zandonai,61
992,2013-03-20,Otello,Italian,Rossini,109
993,2013-03-20,Otello,Italian,Verdi,109
994,2013-03-21,Faust,French,Gounod,97
995,2013-03-22,Francesca da Rimini,Italian,Zandonai,61
996,2013-03-23,La Traviata,Italian,Verdi,173
997,2013-03-23,Otello,Italian,Rossini,109
998,2013-03-23,Otello,Italian,Verdi,109
999,2013-03-25,Faust,French,Gounod,97
1000,2013-03-26,La Traviata,Italian,Verdi,173
1001,2013-03-27,Otello,Italian,Rossini,72
1002,2013-03-27,Otello,Italian,Verdi,72
1003,2013-03-28,Faust,French,Gounod,97
1004,2013-03-30,La Traviata,Italian,Verdi,173
1005,2013-03-30,Otello,Italian,Rossini,109
1006,2013-03-30,Otello,Italian,Verdi,109
1007,2013-04-02,Faust,French,Gounod,97
1008,2013-04-03,La Traviata,Italian,Verdi,165
1009,2013-04-04,Giulio Cesare,Italian,Handel,169
1010,2013-04-05,Faust,French,Gounod,97
1011,2013-04-06,La Traviata,Italian,Verdi,173
1012,2013-04-09,Giulio Cesare,Italian,Handel,158
1013,2013-04-12,Giulio Cesare,Italian,Handel,165
1014,2013-04-13,Rigoletto,Italian,Verdi,228
1015,2013-04-16,Rigoletto,Italian,Verdi,228
1016,2013-04-19,Giulio Cesare,Italian,Handel,165
1017,2013-04-20,Rigoletto,Italian,Verdi,228
1018,2013-04-22,Giulio Cesare,Italian,Handel,165
1019,2013-04-24,Rigoletto,Italian,Verdi,228
1020,2013-04-27,Giulio Cesare,Italian,Handel,165
1021,2013-04-27,Rigoletto,Italian,Verdi,228
1022,2013-04-30,Giulio Cesare,Italian,Handel,165
1023,2013-05-01,Rigoletto,Italian,Verdi,228
1024,2013-05-03,Giulio Cesare,Italian,Handel,165
1025,2013-05-07,Giulio Cesare,Italian,Handel,165
1026,2013-05-10,Giulio Cesare,Italian,Handel,165
1027,2013-09-23,Eugene Onegin,Russian,Tchaikovsky,156
1028,2013-09-26,Eugene Onegin,Russian,Tchaikovsky,156
1029,2013-09-30,Norma,Italian,Bellini,104
1030,2013-10-01,Eugene Onegin,Russian,Tchaikovsky,156
1031,2013-10-04,Norma,Italian,Bellini,102
1032,2013-10-05,Eugene Onegin,Russian,Tchaikovsky,156
1033,2013-10-07,Norma,Italian,Bellini,102
1034,2013-10-09,Eugene Onegin,Russian,Tchaikovsky,156
1035,2013-10-10,Norma,Italian,Bellini,102
1036,2013-10-12,Eugene Onegin,Russian,Tchaikovsky,156
1037,2013-10-14,Norma,Italian,Bellini,102
1038,2013-10-16,Eugene Onegin,Russian,Tchaikovsky,156
1039,2013-10-18,Norma,Italian,Bellini,102
1040,2013-10-19,Eugene Onegin,Russian,Tchaikovsky,156
1041,2013-10-24,Norma,Italian,Bellini,27
1042,2013-10-28,Norma,Italian,Bellini,105
1043,2013-10-29,Tosca,Italian,Puccini,46
1044,2013-11-01,Norma,Italian,Bellini,102
1045,2013-11-02,Tosca,Italian,Puccini,46
1046,2013-11-05,Tosca,Italian,Puccini,48
1047,2013-11-09,Tosca,Italian,Puccini,48
1048,2013-11-11,Rigoletto,Italian,Verdi,217
1049,2013-11-13,Tosca,Italian,Puccini,46
1050,2013-11-15,Rigoletto,Italian,Verdi,217
1051,2013-11-16,Tosca,Italian,Puccini,46
1052,2013-11-18,Rigoletto,Italian,Verdi,217
1053,2013-11-21,Rigoletto,Italian,Verdi,245
1054,2013-11-22,Der Rosenkavalier,German,Strauss,95
1055,2013-11-23,Eugene Onegin,Russian,Tchaikovsky,171
1056,2013-11-25,Der Rosenkavalier,German,Strauss,91
1057,2013-11-27,Rigoletto,Italian,Verdi,245
1058,2013-11-29,Eugene Onegin,Russian,Tchaikovsky,171
1059,2013-11-30,Der Rosenkavalier,German,Strauss,91
1060,2013-11-30,Rigoletto,Italian,Verdi,245
1061,2013-12-02,Eugene Onegin,Russian,Tchaikovsky,171
1062,2013-12-03,Der Rosenkavalier,German,Strauss,70
1063,2013-12-04,Rigoletto,Italian,Verdi,245
1064,2013-12-05,Eugene Onegin,Russian,Tchaikovsky,171
1065,2013-12-06,Falstaff,Italian,Verdi,126
1066,2013-12-07,Der Rosenkavalier,German,Strauss,107
1067,2013-12-07,Rigoletto,Italian,Verdi,245
1068,2013-12-09,Falstaff,Italian,Verdi,100
1069,2013-12-10,Der Rosenkavalier,German,Strauss,107
1070,2013-12-11,Tosca,Italian,Puccini,28
1071,2013-12-12,Eugene Onegin,Russian,Tchaikovsky,171
1072,2013-12-13,Der Rosenkavalier,German,Strauss,85
1073,2013-12-14,Falstaff,Italian,Verdi,100
1074,2013-12-14,Tosca,Italian,Puccini,28
1075,2013-12-16,Die Zauberflöte,German,Mozart,121
1076,2013-12-17,Tosca,Italian,Puccini,26
1077,2013-12-18,Falstaff,Italian,Verdi,83
1078,2013-12-20,Tosca,Italian,Puccini,18
1079,2013-12-21,Die Zauberflöte,German,Mozart,126
1080,2013-12-21,Falstaff,Italian,Verdi,83
1081,2013-12-23,Tosca,Italian,Puccini,28
1082,2013-12-24,Die Zauberflöte,German,Mozart,127
1083,2013-12-26,Die Zauberflöte,German,Mozart,127
1084,2013-12-27,Falstaff,Italian,Verdi,100
1085,2013-12-28,Die Zauberflöte,German,Mozart,61
1086,2013-12-28,Tosca,Italian,Puccini,26
1087,2013-12-30,Die Zauberflöte,German,Mozart,104
1088,2013-12-30,Falstaff,Italian,Verdi,100
1089,2013-12-31,Die Fledermaus,German,Strauss jr,329
1090,2014-01-02,Die Zauberflöte,German,Mozart,104
1091,2014-01-03,Falstaff,Italian,Verdi,100
1092,2014-01-04,Die Fledermaus,German,Strauss jr,195
1093,2014-01-04,Die Zauberflöte,German,Mozart,104
1094,2014-01-06,Falstaff,Italian,Verdi,100
1095,2014-01-07,Die Fledermaus,German,Strauss jr,195
1096,2014-01-11,Die Fledermaus,German,Strauss jr,329
1097,2014-01-11,Falstaff,Italian,Verdi,100
1098,2014-01-14,La Bohème,Italian,Puccini,77
1099,2014-01-15,Die Fledermaus,German,Strauss jr,329
1100,2014-01-18,Die Fledermaus,German,Strauss jr,329
1101,2014-01-18,La Bohème,Italian,Puccini,77
1102,2014-01-22,La Bohème,Italian,Puccini,77
1103,2014-01-23,Rusalka,Czech,Dvorak,198
1104,2014-01-25,La Bohème,Italian,Puccini,77
1105,2014-01-27,Rusalka,Czech,Dvorak,160
1106,2014-01-30,La Bohème,Italian,Puccini,77
1107,2014-01-31,Rusalka,Czech,Dvorak,160
1108,2014-02-03,Die Fledermaus,German,Strauss jr,329
1109,2014-02-04,Rusalka,Czech,Dvorak,132
1110,2014-02-05,Die Fledermaus,German,Strauss jr,329
1111,2014-02-08,Die Fledermaus,German,Strauss jr,329
1112,2014-02-08,Rusalka,Czech,Dvorak,160
1113,2014-02-11,Die Fledermaus,German,Strauss jr,329
1114,2014-02-12,Rusalka,Czech,Dvorak,160
1115,2014-02-13,Die Fledermaus,German,Strauss jr,329
1116,2014-02-15,Die Fledermaus,German,Strauss jr,329
1117,2014-02-15,Rusalka,Czech,Dvorak,191
1118,2014-02-18,Werther,French,Massenet,153
1119,2014-02-20,Die Fledermaus,German,Strauss jr,329
1120,2014-02-22,Die Fledermaus,German,Strauss jr,329
1121,2014-02-22,Werther,French,Massenet,119
1122,2014-02-25,Werther,French,Massenet,119
1123,2014-02-28,Werther,French,Massenet,119
1124,2014-03-03,Werther,French,Massenet,41
1125,2014-03-06,Wozzeck,German,Berg,137
1126,2014-03-07,Werther,French,Massenet,119
1127,2014-03-10,Wozzeck,German,Berg,76
1128,2014-03-11,Werther,French,Massenet,119
1129,2014-03-13,Wozzeck,German,Berg,113
1130,2014-03-14,La Sonnambula,Italian,Bellini,184
1131,2014-03-15,Werther,French,Massenet,119
1132,2014-03-17,Wozzeck,German,Berg,113
1133,2014-03-18,La Sonnambula,Italian,Bellini,184
1134,2014-03-19,La Bohème,Italian,Puccini,66
1135,2014-03-21,La Sonnambula,Italian,Bellini,184
1136,2014-03-22,La Bohème,Italian,Puccini,66
1137,2014-03-22,Wozzeck,German,Berg,113
1138,2014-03-25,La Sonnambula,Italian,Bellini,184
1139,2014-03-26,La Bohème,Italian,Puccini,66
1140,2014-03-29,La Bohème,Italian,Puccini,66
1141,2014-03-29,La Sonnambula,Italian,Bellini,184
1142,2014-04-01,La Sonnambula,Italian,Bellini,159
1143,2014-04-02,La Bohème,Italian,Puccini,112
1144,2014-04-03,Arabella,German,Strauss,117
1145,2014-04-05,La Bohème,Italian,Puccini,128
1146,2014-04-07,Arabella,German,Strauss,75
1147,2014-04-10,La Bohème,Italian,Puccini,82
1148,2014-04-11,Arabella,German,Strauss,75
1149,2014-04-14,La Bohème,Italian,Puccini,82
1150,2014-04-16,Arabella,German,Strauss,75
1151,2014-04-17,I Puritani,Italian,Bellini,90
1152,2014-04-18,La Bohème,Italian,Puccini,82
1153,2014-04-19,Arabella,German,Strauss,80
1154,2014-04-21,La Cenerentola,Italian,Rossini,148
1155,2014-04-22,I Puritani,Italian,Bellini,90
1156,2014-04-24,Arabella,German,Strauss,112
1157,2014-04-25,La Cenerentola,Italian,Rossini,148
1158,2014-04-26,I Puritani,Italian,Bellini,95
1159,2014-04-28,La Cenerentola,Italian,Rossini,148
1160,2014-04-29,I Puritani,Italian,Bellini,95
1161,2014-05-02,La Cenerentola,Italian,Rossini,162
1162,2014-05-03,I Puritani,Italian,Bellini,95
1163,2014-05-06,La Cenerentola,Italian,Rossini,162
1164,2014-05-07,I Puritani,Italian,Bellini,90
1165,2014-05-10,I Puritani,Italian,Bellini,95
1166,2014-05-10,La Cenerentola,Italian,Rossini,162
1167,2014-09-22,Le Nozze di Figaro,Italian,Mozart,170
1168,2014-09-23,La Bohème,Italian,Puccini,30
1169,2014-09-24,Macbeth,Italian,Verdi,116
1170,2014-09-25,Le Nozze di Figaro,Italian,Mozart,170
1171,2014-09-26,La Bohème,Italian,Puccini,64
1172,2014-09-27,Le Nozze di Figaro,Italian,Mozart,174
1173,2014-09-27,Macbeth,Italian,Verdi,116
1174,2014-09-29,La Bohème,Italian,Puccini,64
1175,2014-09-30,Carmen,French,Bizet,75
1176,2014-10-02,Le Nozze di Figaro,Italian,Mozart,170
1177,2014-10-03,Macbeth,Italian,Verdi,116
1178,2014-10-04,Carmen,French,Bizet,75
1179,2014-10-04,La Bohème,Italian,Puccini,64
1180,2014-10-06,Die Zauberflöte,German,Mozart,202
1181,2014-10-07,Le Nozze di Figaro,Italian,Mozart,170
1182,2014-10-08,Macbeth,Italian,Verdi,116
1183,2014-10-09,Carmen,French,Bizet,75
1184,2014-10-10,Le Nozze di Figaro,Italian,Mozart,170
1185,2014-10-11,Die Zauberflöte,German,Mozart,202
1186,2014-10-11,Macbeth,Italian,Verdi,116
1187,2014-10-13,Carmen,French,Bizet,75
1188,2014-10-14,Le Nozze di Figaro,Italian,Mozart,124
1189,2014-10-15,Macbeth,Italian,Verdi,114
1190,2014-10-16,Die Zauberflöte,German,Mozart,202
1191,2014-10-17,Carmen,French,Bizet,109
1192,2014-10-18,Le Nozze di Figaro,Italian,Mozart,170
1193,2014-10-18,Macbeth,Italian,Verdi,114
1194,2014-10-20,The Death of Klinghoffer,English,Adams,124
1195,2014-10-21,Die Zauberflöte,German,Mozart,176
1196,2014-10-22,Le Nozze di Figaro,Italian,Mozart,170
1197,2014-10-23,Carmen,French,Bizet,76
1198,2014-10-24,The Death of Klinghoffer,English,Adams,124
1199,2014-10-25,Die Zauberflöte,German,Mozart,178
1200,2014-10-25,Le Nozze di Figaro,Italian,Mozart,170
1201,2014-10-27,Die Zauberflöte,German,Mozart,179
1202,2014-10-28,Carmen,French,Bizet,91
1203,2014-10-29,The Death of Klinghoffer,English,Adams,124
1204,2014-10-30,Aida,Italian,Verdi,38
1205,2014-10-31,Die Zauberflöte,German,Mozart,179
1206,2014-11-01,Carmen,French,Bizet,91
1207,2014-11-01,The Death of Klinghoffer,English,Adams,124
1208,2014-11-03,Die Zauberflöte,German,Mozart,179
1209,2014-11-04,Aida,Italian,Verdi,34
1210,2014-11-05,The Death of Klinghoffer,English,Adams,124
1211,2014-11-07,Aida,Italian,Verdi,34
1212,2014-11-08,Die Zauberflöte,German,Mozart,179
1213,2014-11-08,The Death of Klinghoffer,English,Adams,124
1214,2014-11-11,The Death of Klinghoffer,English,Adams,124
1215,2014-11-12,Aida,Italian,Verdi,34
1216,2014-11-14,La Bohème,Italian,Puccini,82
1217,2014-11-15,Aida,Italian,Verdi,34
1218,2014-11-15,The Death of Klinghoffer,English,Adams,124
1219,2014-11-18,Il Barbiere di Siviglia,Italian,Rossini,142
1220,2014-11-19,Aida,Italian,Verdi,34
1221,2014-11-20,La Bohème,Italian,Puccini,82
1222,2014-11-22,Aida,Italian,Verdi,38
1223,2014-11-22,Il Barbiere di Siviglia,Italian,Rossini,142
1224,2014-11-24,La Bohème,Italian,Puccini,88
1225,2014-11-26,Il Barbiere di Siviglia,Italian,Rossini,142
1226,2014-11-28,La Bohème,Italian,Puccini,74
1227,2014-11-29,Il Barbiere di Siviglia,Italian,Rossini,142
1228,2014-12-01,La Bohème,Italian,Puccini,96
1229,2014-12-02,Die Meistersinger von Nürnberg,German,Wagner,266
1230,2014-12-03,Il Barbiere di Siviglia,Italian,Rossini,142
1231,2014-12-04,Le Nozze di Figaro,Italian,Mozart,89
1232,2014-12-05,La Bohème,Italian,Puccini,138
1233,2014-12-06,Die Meistersinger von Nürnberg,German,Wagner,262
1234,2014-12-06,Il Barbiere di Siviglia,Italian,Rossini,142
1235,2014-12-08,Le Nozze di Figaro,Italian,Mozart,89
1236,2014-12-09,Die Meistersinger von Nürnberg,German,Wagner,207
1237,2014-12-10,La Bohème,Italian,Puccini,133
1238,2014-12-11,La Traviata,Italian,Verdi,82
1239,2014-12-12,Le Nozze di Figaro,Italian,Mozart,89
1240,2014-12-13,Die Meistersinger von Nürnberg,German,Wagner,207
1241,2014-12-13,La Bohème,Italian,Puccini,133
1242,2014-12-15,Le Nozze di Figaro,Italian,Mozart,77
1243,2014-12-16,La Traviata,Italian,Verdi,70
1244,2014-12-17,Die Meistersinger von Nürnberg,German,Wagner,300
1245,2014-12-18,Hänsel und Gretel,German,Humperdinck,61
1246,2014-12-19,La Traviata,Italian,Verdi,70
1247,2014-12-20,Die Meistersinger von Nürnberg,German,Wagner,266
1248,2014-12-20,Le Nozze di Figaro,Italian,Mozart,77
1249,2014-12-22,La Traviata,Italian,Verdi,70
1250,2014-12-23,Die Meistersinger von Nürnberg,German,Wagner,266
1251,2014-12-23,Hänsel und Gretel,German,Humperdinck,61
1252,2014-12-26,Aida,Italian,Verdi,39
1253,2014-12-27,Hänsel und Gretel,German,Humperdinck,61
1254,2014-12-27,La Traviata,Italian,Verdi,70
1255,2014-12-29,Aida,Italian,Verdi,37
1256,2014-12-30,Hänsel und Gretel,German,Humperdinck,61
1257,2014-12-30,La Traviata,Italian,Verdi,82
1258,2015-01-01,Hänsel und Gretel,German,Humperdinck,47
1259,2015-01-02,Aida,Italian,Verdi,35
1260,2015-01-03,Hänsel und Gretel,German,Humperdinck,45
1261,2015-01-05,Aida,Italian,Verdi,37
1262,2015-01-07,La Traviata,Italian,Verdi,82
1263,2015-01-08,Hänsel und Gretel,German,Humperdinck,45
1264,2015-01-10,Aida,Italian,Verdi,37
1265,2015-01-10,La Traviata,Italian,Verdi,82
1266,2015-01-12,Les Contes d'Hoffmann,French,Offenbach,329
1267,2015-01-14,La Traviata,Italian,Verdi,68
1268,2015-01-15,La Bohème,Italian,Puccini,71
1269,2015-01-16,Les Contes d'Hoffmann,French,Offenbach,329
1270,2015-01-17,La Traviata,Italian,Verdi,58
1271,2015-01-19,La Bohème,Italian,Puccini,71
1272,2015-01-21,La Traviata,Italian,Verdi,58
1273,2015-01-22,Les Contes d'Hoffmann,French,Offenbach,329
1274,2015-01-24,La Bohème,Italian,Puccini,71
1275,2015-01-24,La Traviata,Italian,Verdi,58
1276,2015-01-27,Les Contes d'Hoffmann,French,Offenbach,329
1277,2015-01-31,Les Contes d'Hoffmann,French,Offenbach,329
1278,2015-02-04,Don Giovanni,Italian,Mozart,211
1279,2015-02-05,Les Contes d'Hoffmann,French,Offenbach,329
1280,2015-02-06,Carmen,French,Bizet,162
1281,2015-02-07,Don Giovanni,Italian,Mozart,193
1282,2015-02-09,Carmen,French,Bizet,162
1283,2015-02-11,Don Giovanni,Italian,Mozart,193
1284,2015-02-13,Carmen,French,Bizet,162
1285,2015-02-14,Don Giovanni,Italian,Mozart,193
1286,2015-02-17,Don Giovanni,Italian,Mozart,193
1287,2015-02-19,Carmen,French,Bizet,162
1288,2015-02-21,Don Giovanni,Italian,Mozart,193
1289,2015-02-23,Carmen,French,Bizet,162
1290,2015-02-24,Don Giovanni,Italian,Mozart,193
1291,2015-02-26,Carmen,French,Bizet,162
1292,2015-02-27,Don Giovanni,Italian,Mozart,193
1293,2015-02-28,Les Contes d'Hoffmann,French,Offenbach,284
1294,2015-03-02,Don Giovanni,Italian,Mozart,193
1295,2015-03-04,Carmen,French,Bizet,124
1296,2015-03-05,Les Contes d'Hoffmann,French,Offenbach,284
1297,2015-03-06,Don Giovanni,Italian,Mozart,96
1298,2015-03-07,Carmen,French,Bizet,124
1299,2015-03-09,Manon,French,Massenet,161
1300,2015-03-11,Les Contes d'Hoffmann,French,Offenbach,284
1301,2015-03-12,Manon,French,Massenet,161
1302,2015-03-14,Les Contes d'Hoffmann,French,Offenbach,284
1303,2015-03-16,Lucia di Lammermoor,Italian,Donizetti,91
1304,2015-03-17,Manon,French,Massenet,161
1305,2015-03-18,Les Contes d'Hoffmann,French,Offenbach,284
1306,2015-03-19,Lucia di Lammermoor,Italian,Donizetti,91
1307,2015-03-20,Ernani,Italian,Verdi,105
1308,2015-03-21,Les Contes d'Hoffmann,French,Offenbach,296
1309,2015-03-21,Manon,French,Massenet,161
1310,2015-03-23,Ernani,Italian,Verdi,105
1311,2015-03-24,Lucia di Lammermoor,Italian,Donizetti,91
1312,2015-03-25,Manon,French,Massenet,156
1313,2015-03-26,Ernani,Italian,Verdi,105
1314,2015-03-28,Lucia di Lammermoor,Italian,Donizetti,91
1315,2015-03-28,Manon,French,Massenet,161
1316,2015-03-31,Ernani,Italian,Verdi,105
1317,2015-04-01,Lucia di Lammermoor,Italian,Donizetti,28
1318,2015-04-04,Ernani,Italian,Verdi,53
1319,2015-04-04,Lucia di Lammermoor,Italian,Donizetti,54
1320,2015-04-07,Lucia di Lammermoor,Italian,Donizetti,91
1321,2015-04-08,Ernani,Italian,Verdi,73
1322,2015-04-09,Aida,Italian,Verdi,32
1323,2015-04-10,Lucia di Lammermoor,Italian,Donizetti,91
1324,2015-04-11,Ernani,Italian,Verdi,105
1325,2015-04-13,Aida,Italian,Verdi,32
1326,2015-04-17,Aida,Italian,Verdi,32
1327,2015-04-20,Aida,Italian,Verdi,31
1328,2015-05-01,The Rake's Progress,English,Stravinsky,110
1329,2015-05-04,The Rake's Progress,English,Stravinsky,72
1330,2015-05-09,The Rake's Progress,English,Stravinsky,72
1331,2015-09-21,Otello,Italian,Rossini,95
1332,2015-09-21,Otello,Italian,Verdi,95
1333,2015-09-23,Turandot,Italian,Puccini,115
1334,2015-09-24,Otello,Italian,Rossini,95
1335,2015-09-24,Otello,Italian,Verdi,95
1336,2015-09-25,Il Trovatore,Italian,Verdi,115
1337,2015-09-26,Anna Bolena,Italian,Donizetti,60
1338,2015-09-26,Turandot,Italian,Puccini,118
1339,2015-09-28,Otello,Italian,Rossini,95
1340,2015-09-28,Otello,Italian,Verdi,95
1341,2015-09-29,Il Trovatore,Italian,Verdi,115
1342,2015-09-30,Turandot,Italian,Puccini,117
1343,2015-10-01,Anna Bolena,Italian,Donizetti,54
1344,2015-10-02,Otello,Italian,Rossini,95
1345,2015-10-02,Otello,Italian,Verdi,95
1346,2015-10-03,Il Trovatore,Italian,Verdi,115
1347,2015-10-03,Turandot,Italian,Puccini,117
1348,2015-10-05,Anna Bolena,Italian,Donizetti,60
1349,2015-10-06,Otello,Italian,Rossini,95
1350,2015-10-06,Otello,Italian,Verdi,95
1351,2015-10-07,Il Trovatore,Italian,Verdi,79
1352,2015-10-08,Tannhäuser,German,Wagner,183
1353,2015-10-09,Anna Bolena,Italian,Donizetti,44
1354,2015-10-10,Il Trovatore,Italian,Verdi,79
1355,2015-10-10,Otello,Italian,Rossini,95
1356,2015-10-10,Otello,Italian,Verdi,95
1357,2015-10-12,Tannhäuser,German,Wagner,183
1358,2015-10-13,Anna Bolena,Italian,Donizetti,54
1359,2015-10-14,Otello,Italian,Rossini,95
1360,2015-10-14,Otello,Italian,Verdi,95
1361,2015-10-15,Tannhäuser,German,Wagner,183
1362,2015-10-16,Tosca,Italian,Puccini,45
1363,2015-10-17,Il Trovatore,Italian,Verdi,86
1364,2015-10-17,Otello,Italian,Rossini,95
1365,2015-10-17,Otello,Italian,Verdi,95
1366,2015-10-19,Tannhäuser,German,Wagner,183
1367,2015-10-20,Rigoletto,Italian,Verdi,7
1368,2015-10-21,Tosca,Italian,Puccini,45
1369,2015-10-22,Turandot,Italian,Puccini,97
1370,2015-10-23,Rigoletto,Italian,Verdi,7
1371,2015-10-24,Tannhäuser,German,Wagner,183
1372,2015-10-24,Tosca,Italian,Puccini,40
1373,2015-10-26,Turandot,Italian,Puccini,97
1374,2015-10-27,Tannhäuser,German,Wagner,183
1375,2015-10-28,Rigoletto,Italian,Verdi,7
1376,2015-10-29,Tosca,Italian,Puccini,61
1377,2015-10-30,Turandot,Italian,Puccini,97
1378,2015-10-31,Rigoletto,Italian,Verdi,7
1379,2015-10-31,Tannhäuser,German,Wagner,183
1380,2015-11-02,Tosca,Italian,Puccini,61
1381,2015-11-03,Turandot,Italian,Puccini,97
1382,2015-11-04,Rigoletto,Italian,Verdi,7
1383,2015-11-06,Tosca,Italian,Puccini,29
1384,2015-11-07,Rigoletto,Italian,Verdi,7
1385,2015-11-07,Turandot,Italian,Puccini,179
1386,2015-11-10,Rigoletto,Italian,Verdi,7
1387,2015-11-11,Tosca,Italian,Puccini,116
1388,2015-11-12,Turandot,Italian,Puccini,39
1389,2015-11-13,Rigoletto,Italian,Verdi,22
1390,2015-11-14,Tosca,Italian,Puccini,96
1391,2015-11-16,Rigoletto,Italian,Verdi,22
1392,2015-11-18,Tosca,Italian,Puccini,96
1393,2015-11-19,Rigoletto,Italian,Verdi,22
1394,2015-11-21,Tosca,Italian,Puccini,96
1395,2015-11-23,La Bohème,Italian,Puccini,71
1396,2015-11-25,Tosca,Italian,Puccini,29
1397,2015-11-27,La Bohème,Italian,Puccini,71
1398,2015-11-28,Tosca,Italian,Puccini,29
1399,2015-11-30,La Bohème,Italian,Puccini,71
1400,2015-12-01,Tosca,Italian,Puccini,29
1401,2015-12-02,Rigoletto,Italian,Verdi,117
