,date,opera,language,composer,artist_popularity
569,2010-11-01,La Bohème,Italian,Puccini,150
570,2010-11-02,Don Pasquale,Italian,Donizetti,74
571,2010-11-03,Il Trovatore,Italian,Verdi,11
572,2010-11-04,Carmen,French,Bizet,223
573,2010-11-05,La Bohème,Italian,Puccini,150
574,2010-11-06,Don Pasquale,Italian,Donizetti,74
575,2010-11-06,Il Trovatore,Italian,Verdi,11
576,2010-11-08,Carmen,French,Bizet,223
577,2010-11-10,Don Pasquale,Italian,Donizetti,74
578,2010-11-11,Il Trovatore,Italian,Verdi,7
579,2010-11-12,Carmen,French,Bizet,223
580,2010-11-13,Don Pasquale,Italian,Donizetti,74
581,2010-11-15,Il Trovatore,Italian,Verdi,11
582,2010-11-16,Carmen,French,Bizet,223
583,2010-11-18,Don Pasquale,Italian,Donizetti,121
584,2010-11-19,Il Trovatore,Italian,Verdi,11
585,2010-11-20,Carmen,French,Bizet,223
586,2010-11-24,Carmen,French,Bizet,223
587,2010-11-27,Carmen,French,Bizet,223
588,2010-11-30,Carmen,French,Bizet,223
589,2010-12-01,La Bohème,Italian,Puccini,203
590,2010-12-04,Carmen,French,Bizet,187
591,2010-12-04,La Bohème,Italian,Puccini,177
592,2010-12-08,La Bohème,Italian,Puccini,177
593,2010-12-09,Carmen,French,Bizet,70
594,2010-12-11,La Bohème,Italian,Puccini,177
595,2010-12-21,Die Zauberflöte,German,Mozart,155
596,2010-12-24,Die Zauberflöte,German,Mozart,155
597,2010-12-28,Die Zauberflöte,German,Mozart,155
598,2010-12-29,Die Zauberflöte,German,Mozart,62
599,2010-12-30,Die Zauberflöte,German,Mozart,155
600,2010-12-31,La Traviata,Italian,Verdi,67
601,2011-01-01,Die Zauberflöte,German,Mozart,155
602,2011-01-03,Die Zauberflöte,German,Mozart,144
603,2011-01-04,La Traviata,Italian,Verdi,55
604,2011-01-05,Carmen,French,Bizet,126
605,2011-01-06,Die Zauberflöte,German,Mozart,134
606,2011-01-07,La Traviata,Italian,Verdi,55
607,2011-01-08,Carmen,French,Bizet,162
608,2011-01-10,Tosca,Italian,Puccini,125
609,2011-01-11,Rigoletto,Italian,Verdi,67
610,2011-01-12,La Traviata,Italian,Verdi,55
611,2011-01-13,Carmen,French,Bizet,162
612,2011-01-14,Tosca,Italian,Puccini,87
613,2011-01-15,La Traviata,Italian,Verdi,55
614,2011-01-15,Rigoletto,Italian,Verdi,47
615,2011-01-17,Tosca,Italian,Puccini,87
616,2011-01-18,Rigoletto,Italian,Verdi,49
617,2011-01-19,La Traviata,Italian,Verdi,55
618,2011-01-20,Simon Boccanegra,Italian,Verdi,88
619,2011-01-21,Tosca,Italian,Puccini,87
620,2011-01-22,La Traviata,Italian,Verdi,55
621,2011-01-22,Rigoletto,Italian,Verdi,49
622,2011-01-24,Simon Boccanegra,Italian,Verdi,116
623,2011-01-25,Tosca,Italian,Puccini,87
624,2011-01-26,La Traviata,Italian,Verdi,55
625,2011-01-27,Rigoletto,Italian,Verdi,33
626,2011-01-28,Simon Boccanegra,Italian,Verdi,116
627,2011-01-29,La Traviata,Italian,Verdi,55
628,2011-01-29,Tosca,Italian,Puccini,87
629,2011-01-31,La Bohème,Italian,Puccini,193
630,2011-02-01,Simon Boccanegra,Italian,Verdi,116
631,2011-02-02,Nixon in China,English,Adams,49
632,2011-02-03,La Bohème,Italian,Puccini,193
633,2011-02-04,Don Pasquale,Italian,Donizetti,121
634,2011-02-05,Nixon in China,English,Adams,17
635,2011-02-05,Simon Boccanegra,Italian,Verdi,116
636,2011-02-07,La Bohème,Italian,Puccini,193
637,2011-02-08,Don Pasquale,Italian,Donizetti,74
638,2011-02-09,Nixon in China,English,Adams,17
639,2011-02-10,La Bohème,Italian,Puccini,193
640,2011-02-11,Don Pasquale,Italian,Donizetti,74
641,2011-02-12,Iphigénie en Tauride,French,Gluck,128
642,2011-02-12,Nixon in China,English,Adams,17
643,2011-02-14,Don Pasquale,Italian,Donizetti,69
644,2011-02-15,Nixon in China,English,Adams,17
645,2011-02-16,Iphigénie en Tauride,French,Gluck,88
646,2011-02-17,La Bohème,Italian,Puccini,205
647,2011-02-18,Armida,Italian,Haydn,157
648,2011-02-18,Armida,Italian,Rossini,157
649,2011-02-19,Don Pasquale,Italian,Donizetti,27
650,2011-02-19,Nixon in China,English,Adams,17
651,2011-02-21,Iphigénie en Tauride,French,Gluck,88
652,2011-02-22,La Bohème,Italian,Puccini,205
653,2011-02-23,Armida,Italian,Haydn,157
654,2011-02-23,Armida,Italian,Rossini,157
655,2011-02-24,Lucia di Lammermoor,Italian,Donizetti,121
656,2011-02-25,La Bohème,Italian,Puccini,205
657,2011-02-26,Armida,Italian,Haydn,157
658,2011-02-26,Armida,Italian,Rossini,157
659,2011-02-26,Iphigénie en Tauride,French,Gluck,98
660,2011-02-28,Lucia di Lammermoor,Italian,Donizetti,121
661,2011-03-01,Armida,Italian,Haydn,157
662,2011-03-01,Armida,Italian,Rossini,157
663,2011-03-02,Iphigénie en Tauride,French,Gluck,98
664,2011-03-04,Lucia di Lammermoor,Italian,Donizetti,121
665,2011-03-05,Armida,Italian,Haydn,157
666,2011-03-05,Armida,Italian,Rossini,157
667,2011-03-05,Iphigénie en Tauride,French,Gluck,98
668,2011-03-08,Lucia di Lammermoor,Italian,Donizetti,121
669,2011-03-09,Boris Godunov,Russian,Mussorgsky,125
670,2011-03-11,The Queen of Spades,Russian,Tchaikovsky,212
671,2011-03-12,Boris Godunov,Russian,Mussorgsky,125
672,2011-03-12,Lucia di Lammermoor,Italian,Donizetti,121
673,2011-03-15,The Queen of Spades,Russian,Tchaikovsky,212
674,2011-03-16,Lucia di Lammermoor,Italian,Donizetti,121
675,2011-03-17,Boris Godunov,Russian,Mussorgsky,99
676,2011-03-18,The Queen of Spades,Russian,Tchaikovsky,212
677,2011-03-19,Lucia di Lammermoor,Italian,Donizetti,121
678,2011-03-21,The Queen of Spades,Russian,Tchaikovsky,212
679,2011-03-25,Tosca,Italian,Puccini,175
680,2011-03-26,The Queen of Spades,Russian,Tchaikovsky,212
681,2011-03-30,Das Rheingold,German,Wagner,208
682,2011-03-31,Tosca,Italian,Puccini,175
683,2011-04-02,Das Rheingold,German,Wagner,200
684,2011-04-04,Tosca,Italian,Puccini,175
685,2011-04-06,Wozzeck,German,Berg,137
686,2011-04-08,Tosca,Italian,Puccini,175
687,2011-04-09,Wozzeck,German,Berg,99
688,2011-04-12,Tosca,Italian,Puccini,175
689,2011-04-13,Wozzeck,German,Berg,99
690,2011-04-16,Tosca,Italian,Puccini,123
691,2011-04-16,Wozzeck,German,Berg,99
692,2011-04-20,Il Trovatore,Italian,Verdi,78
693,2011-04-22,Die Walküre,German,Wagner,136
694,2011-04-23,Il Trovatore,Italian,Verdi,78
695,2011-04-25,Die Walküre,German,Wagner,136
696,2011-04-26,Rigoletto,Italian,Verdi,25
697,2011-04-27,Il Trovatore,Italian,Verdi,78
698,2011-04-28,Die Walküre,German,Wagner,136
699,2011-04-29,Orfeo ed Euridice,Italian,Gluck,69
700,2011-04-30,Il Trovatore,Italian,Verdi,78
701,2011-04-30,Rigoletto,Italian,Verdi,25
702,2011-05-02,Die Walküre,German,Wagner,136
703,2011-05-03,Rigoletto,Italian,Verdi,25
704,2011-05-04,Orfeo ed Euridice,Italian,Gluck,21
705,2011-05-05,Die Walküre,German,Wagner,136
706,2011-05-06,Rigoletto,Italian,Verdi,25
707,2011-05-07,Ariadne auf Naxos,German,Strauss,155
708,2011-05-07,Orfeo ed Euridice,Italian,Gluck,21
709,2011-05-09,Die Walküre,German,Wagner,136
710,2011-05-10,Ariadne auf Naxos,German,Strauss,145
711,2011-05-11,Orfeo ed Euridice,Italian,Gluck,21
712,2011-05-12,Rigoletto,Italian,Verdi,25
713,2011-05-13,Ariadne auf Naxos,German,Strauss,147
714,2011-05-14,Die Walküre,German,Wagner,136
