,opera,composer,language
5355,Marcella,Giordano,Italian
5356,Maria Padilla,Donizetti,Italian
5358,Maria Regina d'Inghilterra,Pacini,Italian
5359,Maria Stuarda,Donizetti,Italian
5400,Maria di Rohan,Donizetti,Italian
5416,Maria di Rudenz,Donizetti,Italian
5457,Marie Magdalena,Massenet,French
5459,Marin Faliero,Donizetti,Italian
5460,Maristella,Pietri,Italian
5461,Marito e l'amante,Ricci,Italian
5462,Marouf savetier di Caire,Rabaud,French
5465,Martha,Flotow,German
5483,Matilde di Shabran,Rossini,Italian
5486,Mavra,Stravinsky,Russian
5487,Medea,Cherubini,Italian
5523,Mefistofele,Boito,Italian
5534,Mercato di Malmantile,Cimarosa,Italian
5535,Midsummers Night's Dream,Britten,English
5544,Mignon,Thomas,French
5562,Mireille,Gounod,French
5576,Molinara la,Paisello,Italian
5577,Mose in Egitto,Rossini,Italian
5585,Musikalische Exequien,Schütz,German
5586,Nabucco,Verdi,Italian
5608,Paul Bunyan,Britten,English
5644,Nerone,Boito,Italian
5647,Nixon in China,Adams,English
5675,Ruddigore,Sullivan,English
5677,Nordstern,Meyerbeer,French
5679,Norma,Bellini,Italian
5729,Notre Dame,Schmidt,German
5730,Nozze Teti di Peleo,Cavalli,Italian
5749,Oberto,Verdi,Italian
5791,Oedipus Rex,Stravinsky,Latin
5794,Old maid and thief,Menotti,English
5796,Olympiade,Vivaldi,Italian
5798,Orfeo ed Euredice,Haydn,Italian
5800,Orfeo ed Euridice,Gluck,Italian
5832,Orlando,Handel,Italian
5897,Orlando finto pazzo,Vivaldi,Italian
5900,Orlando furioso,Vivaldi,Italian
5906,Orphée aux enfers,Offenbach,French
5909,Otello,Rossini,Italian
5913,Otello,Verdi,Italian
5998,Ottone,Handel,Italian
5999,Paganini,Léhar,German
6009,Pagliacci,Leoncavallo,Italian
6048,Palestrina,Pfitzner,German
6050,Palmira regina di Persia,Salieri,Italian
6051,Pan and Syrinx,Galliard,English
6082,Paride ed Elena,Gluck,Italian
6084,Parsifal,Wagner,German
6097,Pelléas et Melisande,Debussy,French
6106,Peter Grimes,Britten,English
6111,Pia de' Tolomei,Donizetti,Italian
6112,Platée,Rameau,French
6118,Poliuto,Donizetti,Italian
6165,Polyeucto,Gounod,French
6166,Porgy and Bess,Gershwin,English
6188,Poro,Handel,Italian
6216,Postcard from Morocco,Argento,English
6219,Princess Ida,Sullivan,English
6229,Prinz Igor,Borodin,Russian
6239,Re di Ponto Mitridate,Mozart,Italian
6303,Reine de Saba,Gounod,French
6306,Riccardo e Zoraide,Rossini,Italian
6307,Richard Coeur de Lion,Gretry,French
6309,Rienzi,Wagner,German
6321,Rigoletto,Verdi,Italian
6368,Rinaldo,Handel,Italian
6378,Risurrezione,Alfano,Italian
6381,Robert le Diable,Meyerbeer,French
6384,Roberto Devereux,Donizetti,Italian
6417,Robinson Crusoé,Offenbach,French
6418,Rodelinda,Handel,Italian
6449,Romeo and Juliet,Prokoviev,English
6451,Romeo et Juliette,Berlioz,French
6452,Romeo et Juliette,Gounod,French
6495,Rosmonda d'Inghiliterra,Donizetti,Italian
6502,Rusalka,Dvorak,Czech
6505,Ruslan i Ljudmilla,Glinka,Russian
6506,Sadko,Rimsky-Korsakov,Russian
6511,Saint of Bleeckerstreet,Menotti,English
6519,Sakùntala,Alfano,Italian
6520,Salammbo,Reyer,French
6521,Salome,Strauss,German
6525,Samson et Dalila,Saint-Saëns,French
6539,Sappho,Gounod,French
6540,Sappho,Massenet,French
6541,Schauspieldirektor,Mozart,German
6546,Segreto di Susanne,Wolf-Ferrari,Italian
6549,Semele,Handel,English
6550,Semiramide,Rossini,Italian
6618,Si j'étais roi,Adam,French
6619,Siegfried,Wagner,German
6633,Sigurd,Reyer,
6634,Simon Boccanegra,Verdi,Italian
6685,Skazanye kitesje i Fevronii,Rimsky-Korsakov,Russian
6686,Sommernachtstraum,Mendelssohn,German
6687,Song is over,Stolz,German
6688,Spitzentuch der Königin,Strauss jr,German
6689,Stein der Weisen,Mozart,German
6692,Stern fallt von Himmel,Neubach,German
6693,Stiffelio,Verdi,Italian
6742,Streetscene,Weill,English
6747,Suor Angelica,Puccini,Italian
6749,Susannah,Floyd,English
6755,Tabernera del Puerte,Sorozabal,Italian
6756,Tancredi,Rossini,Italian
6777,Tannhäuser,Wagner,German
6798,Teuzzone,Vivaldi,Italian
6799,Thais,Massenet,French
6809,The Ballad of Baby Doe,Moore,English
6818,The Beggar's Opera,Britten,English
6828,The Consul,Menotti,English
6838,The Death of Klinghoffer,Adams,English
6839,The Fair at Sorochyntsi,Mussorgsky,English
6841,The Fiery Angel,Prokoviev,French
6870,The Gondoliers,Sullivan,English
6875,The Great Waltz,Strauss jr,English
6878,The Little Sweep,Britten,English
6881,The Medium,Menotti,English
6884,The Mikado,Sullivan,English
6891,The Pirates of Penzance,Sullivan,English
6898,The Queen of Spades,Tchaikovsky,Russian
6918,The Rake's Progress,Stravinsky,English
6936,The Rape of Lucretia,Britten,English
6943,The Sorcerer,Sullivan,English
6968,Werther,Massenet,French
6980,The Telephone,Menotti,English
6981,The Tender Land,Copland,English
6991,Theodora,Handel,English
6997,Tiefland,Albert,German
7010,Timon of Athene,Purcell,English
7021,Tolomeo,Handel,Italian
7024,Tosca,Puccini,Italian
7084,Treemonisha,Joplin,English
7085,Tristan und Isolde,Wagner,German
7114,Trompeter Sakkingen,Nessler,German
7115,Trouble in Tahiti,Bernstein,English
7119,Tsaar Saltan,Rimsky-Korsakov,Russian
7120,Tsarenbraut,Rimsky-Korsakov,Russian
7123,Turandot,Puccini,Italian
7174,Turn of the screw,Britten,English
7203,Un Ballo in maschera,Verdi,Italian
7269,Una cosa rara,Martin y Soler,Italian
7271,Undine,Lortzing,German
7286,Ungarische Hochzeit,Dostal,German
7295,Vallace,Rossini,Italian
7296,Valurile Dunarii,Grigoriu,Italian
7297,Vanessa,Barber,English
7304,Vetter aus Dingsda,Künnecke,German
7305,Vielka,Meyerbeer,French
7306,Viktoria und ihr Husar,Abraham,German
7313,Virginia,Mercadante,Italian
7314,Waltzertraum,Strauss,German
7398,West Side Story,Bernstein,English
7400,Widerspenstigen Zähmung,Goetz,German
7401,Wozzeck,Berg,German
7402,Xerxes (Serse),Handel,English
7479,Yeoman of the Guard,Sullivan,English
7487,Zaide (Das Serail),Mozart,German
7504,Zaira,Bellini,Italian
7522,Zar und Zimmermann,Lortzing,German
7535,Zauber von Bohemen,Stolz,German
7536,Zaza,Leoncavallo,Italian
7538,Zelmira,Rossini,Italian
7539,Zigeunerliebe,Léhar,German
7541,Zolotoj Petusjak,Rimsky-Korsakov,Russian
